FileName,Products;;;;;;;;;
710020-020,t789:1;b456:5;c1234:10;;;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GTC182L,GTC182L:0.02;115PLUSF20:1;L160:0.01;PLUSCU2L6:0.001;;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GTC182Q,GTC182Q:0.02;115PLUSF20:1;L160:0.01;PLUSCU2L6:0.001;;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GTC182V,GTC182V:0.02;150PLUSF20:1;L160:0.01;PLUSCU2L6:0.001;;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GTC182W,GTC182W:0.02;150PLUSF20:1;L160:0.01;S429F2W16:2;PLUSCU2L6:0.001;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GTC183A,GTC183A:0.02;200PLUSF20:1;L160:0.01;PLUSCU2L6:0.001;;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GTC183D,GTC183D:0.02;200PLUSF20:1;L160:0.01;PLUSCU2L6:0.001;;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GTC183H,GTC183H:0.02;250PLUSF20:1;L160:0.01;PLUSCU2L6:0.001;;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GTC183Q,GTC183Q:0.02;250PLUSF20:1;L160:0.01;PLUSCU2L6:0.001;;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GTC183X,GTC183X:0.02;300PLUSF20:1;L160:0.01;PLUSCU2L6:0.001;;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GTC188C,GTC188C:0.02;150PLUSF20:1;L160:0.01;T403:0.001;PLUSCU2L6:0.001;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GTC188D,GTC188D:0.02;150PLUSF20:1;L160:0.01;T403:0.001;PLUSCU2L6:0.001;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GTC188E,GTC188E:0.02;150PLUSF20:1;L160:0.01;T403:0.001;PLUSCU2L6:0.001;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GTC188F,GTC188F:0.02;150PLUSF20:1;L160:0.01;T403:0.001;PLUSCU2L6:0.001;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GTC188G,GTC188G:0.02;200PLUSF20:1;L160:0.01;T403:0.001;PLUSCU2L6:0.001;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GTC188K,GTC188K:0.02;200PLUSF20:1;L160:0.01;T403:0.001;PLUSCU2L6:0.001;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GTC188L,GTC188L:0.02;250PLUSF20:1;L160:0.01;T403:0.001;PLUSCU2L6:0.001;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GTC318C,GTC318C:0.02;90PLUSF20:1;L160:0.01;T403:0.001;PLUSCU2L6:0.001;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GTC318D,GTC318D:0.02;150PLUSF20:1;L160:0.01;T403:0.001;PLUSCU2L6:0.001;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GTC338D,GTC338D:0.02;115PLUSF20:1;L160:0.01;T403:0.001;PLUSCU2L6:0.001;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GTC33Y2,GTC33Y2:0.02;90PLUSF20:1;L160:0.01;B399P:0.01;PLUSCU2L6:0.001;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GTC33Y3,GTC33Y3:0.02;115PLUSF20:1;L160:0.01;B399P:0.01;PLUSCU2L6:0.001;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GTD164L,GTD164L:0.02;400PLUSF20:1;L159:0.01;PLUSCU2L6:0.001;;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GTD184L,GTD184L:0.02;400PLUSF20:1;L159:0.01;PLUSCU2L6:0.001;;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GYE162C,GYE162C:0.02;115PLUSF20:1;L160:0.01;PLUSCU2L6:0.001;;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GYE162G,GYE162G:0.02;115PLUSF20:1;L160:0.01;PLUSCU2L6:0.001;;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GYE162L,GYE162L:0.02;150PLUSF20:1;L160:0.01;PLUSCU2L6:0.001;;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GYE162Q,GYE162Q:0.02;150PLUSF20:1;L160:0.01;PLUSCU2L6:0.001;;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GYE162V,GYE162V:0.02;150PLUSF20:1;L160:0.01;PLUSCU2L6:0.001;;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GYE163A,GYE163A:0.02;200PLUSF20:1;L160:0.01;PLUSCU2L6:0.001;;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GYE163D,GYE163D:0.02;250PLUSF20:1;L160:0.01;PLUSCU2L6:0.001;;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GYE168C,GYE168C:0.02;150PLUSF20:1;L160:0.01;T403:0.001;PLUSCU2L6:0.001;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GYE168D,GYE168D:0.02;150PLUSF20:1;L160:0.01;T403:0.001;PLUSCU2L6:0.001;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GYE168G,GYE168G:0.02;150PLUSF20:1;L160:0.01;T403:0.001;PLUSCU2L6:0.001;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GYE182G,GYE182G:0.02;115PLUSF20:1;L160:0.01;PLUSCU2L6:0.001;;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GYE182L,GYE182L:0.02;150PLUSF20:1;L160:0.01;PLUSCU2L6:0.001;;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GYE182Q,GYE182Q:0.02;150PLUSF20:1;L160:0.01;PLUSCU2L6:0.001;;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GYE182V,GYE182V:0.02;200PLUSF20:1;L160:0.01;PLUSCU2L6:0.001;;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GYE183A,GYE183A:0.02;250PLUSF20:1;L160:0.01;PLUSCU2L6:0.001;;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GYE188B,GYE188B:0.02;115PLUSF20:1;L160:0.01;T403:0.001;PLUSCU2L6:0.001;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GYE188C,GYE188C:0.02;150PLUSF20:1;L160:0.01;T403:0.001;PLUSCU2L6:0.001;;;;;
